Velocity;Left;Left45;Front;Right45;Right;Rotation
17.5694;4.0;4.43;7.4142;19.7813;4.0;8
48.6086;4.0;4.3348;7.2142;19.8958;4.0;8
33.1967;3.9699;4.2396;7.0142;19.9414;4.2339;8
27.392;3.9397;4.1444;6.8142;19.987;4.2678;8
29.8878;3.9096;4.0492;6.6142;20.0326;4.3017;8
31.9295;3.8794;3.9432;6.4142;19.9166;4.3474;8
31.0294;3.8493;3.8337;6.2142;20.0832;4.4197;8
28.7195;3.8192;3.7243;6.0142;20.1018;4.4919;8
19.435;3.7355;3.6605;6.0495;19.3664;4.4946;7
47.4158;3.6557;3.6055;6.0869;18.4727;4.4953;7
36.8337;3.5878;3.5594;6.1298;17.8632;4.4941;7
35.2754;3.524;3.5018;6.1913;17.0823;4.4911;7
37.7693;3.4351;3.4525;6.2736;15.9878;4.4862;7
42.9297;3.3582;3.4122;6.3637;15.3157;4.4794;7
33.0002;3.2926;3.381;6.4617;14.3666;4.4756;7
38.3929;3.2274;3.3517;6.5857;12.894;4.4724;7
34.3259;3.1536;3.3213;6.7399;12.0364;4.4674;7
34.7329;3.091;3.3004;6.9021;10.8835;4.4606;7
40.4239;3.039;3.2892;7.0961;9.6914;4.4519;7
33.5217;2.9899;3.2882;7.3325;9.1357;4.4415;7
30.0563;2.9363;3.2834;7.6759;8.1616;4.4292;7
27.8056;2.8931;3.2864;8.1888;8.042;4.4151;7
33.9988;2.8599;3.3002;34.2754;7.6355;4.3992;7
37.6335;2.8347;3.3255;33.8773;7.2722;4.3814;7
35.9727;2.8033;3.3563;33.4099;6.9441;4.3616;7
32.402;2.7817;3.3864;32.7611;6.645;4.3399;7
30.2046;2.7696;3.4291;31.9251;6.3168;4.3162;7
25.8202;2.7669;3.4853;30.7717;6.1242;4.2903;7
33.0151;2.7637;3.5562;19.9422;5.8954;4.1122;7
26.0466;2.7646;3.6207;18.9901;5.6794;4.2026;7
28.4767;2.7748;3.7007;18.1246;5.4744;4.2037;7
25.5807;2.7943;3.7973;17.332;5.279;4.1748;7
28.2691;2.8225;3.9123;16.5874;5.092;4.1434;7
26.9502;2.845;4.0295;15.8817;4.9121;4.1096;7
25.1329;2.877;4.1657;15.1941;4.7385;4.073;7
22.8427;2.9186;4.3244;14.5354;4.5705;4.0337;7
15.9684;2.97;4.5234;13.8579;4.4071;3.9913;8
21.3741;2.9966;4.5514;13.6579;4.3616;3.9131;8
22.485;3.0133;4.5794;13.4579;4.316;3.6977;8
29.1433;3.03;4.6074;13.2579;4.2704;3.7651;8
20.2895;3.0468;4.64;13.0579;4.2321;3.703;8
12.5833;3.0635;4.7258;12.8579;4.1983;3.6409;8
18.9894;3.0802;4.8117;12.6579;4.1646;3.5787;8
23.4201;3.097;4.8975;12.4579;4.1308;3.3713;8
18.5781;3.1137;5.0495;12.2579;4.0971;3.4607;8
22.4195;3.1235;5.2489;12.0579;4.0633;3.4113;8
12.1606;3.1327;5.4906;11.8579;3.9654;3.3619;8
21.1654;3.142;5.9333;11.6579;4.0085;3.3126;8
25.2969;3.1513;16.3707;11.4579;3.9868;3.2632;8
20.9797;3.1605;16.4582;11.2579;3.9651;3.2155;8
19.9939;3.1698;16.5084;11.0579;3.9434;3.1771;8
25.6222;3.1807;16.5587;10.8579;3.9217;3.1387;8
20.0731;3.1987;16.6089;10.6579;3.9001;3.1002;8
27.2953;3.2167;16.6591;10.4579;3.8834;3.0618;8
22.6895;3.2347;16.7094;10.2579;3.8709;2.9058;8
23.7149;3.2527;16.7521;10.0579;3.8584;2.9915;8
22.2546;3.2707;16.7818;9.8579;3.8459;2.9644;8
19.4175;3.3087;16.8115;9.6579;3.8334;2.9373;8
22.6821;3.3126;16.1786;9.79;3.9658;2.9184;3
32.6217;3.3134;15.5569;9.921;4.1;2.8262;3
20.6248;3.3112;14.987;10.0539;4.2494;2.9218;3
27.3927;3.3059;14.3847;9.995;4.4228;2.9468;3
27.841;3.2975;13.7892;10.3547;4.5253;2.9815;3
27.6745;3.2862;13.2458;10.376;4.7618;2.8814;3
23.5703;3.2718;12.4829;10.7214;4.9289;3.0885;3
30.2799;3.2544;11.7371;10.7056;5.1217;3.1644;3
28.5884;3.2431;10.6866;11.1986;5.2807;3.251;3
28.2538;3.2351;9.1896;11.5034;5.4253;3.3489;3
32.4386;3.2241;8.1306;11.7283;5.593;3.4516;3
17.6107;3.2099;7.3847;12.2849;5.7402;3.5564;3
28.2875;3.1927;6.8174;23.7589;5.8642;3.6735;3
27.7465;3.1723;6.3789;24.1015;6.0092;3.8033;3
30.1149;3.1487;6.0195;24.3258;6.1267;3.9466;3
42.0718;3.1218;5.709;24.4421;6.2339;4.0607;3
31.3736;3.0915;5.4354;24.5017;6.3608;4.1809;3
33.408;3.0655;5.1906;24.513;6.4563;4.3144;3
42.1927;3.0444;4.9685;24.4994;6.5664;4.462;3
27.7926;3.0199;4.7647;24.4824;6.6811;4.5823;8
44.5397;3.0002;4.879;24.2824;6.6277;4.6343;8
29.5132;2.9806;4.9933;24.0824;6.5742;4.6862;8
40.9248;2.9609;5.1075;23.8824;6.5208;4.7382;8
45.0369;2.9673;5.237;23.6824;6.4673;4.7901;8
34.6293;2.9775;5.369;23.4824;6.4138;4.8421;8
39.2692;2.9877;5.5011;23.2824;6.169;4.8746;8
38.579;2.9979;5.6367;23.0824;6.2919;4.8943;8
40.1093;3.0168;5.7742;22.8824;6.2288;4.914;8
39.439;3.048;5.9116;22.6824;6.1657;4.9337;8
37.5876;3.0792;6.0459;22.4824;6.1025;4.9534;8
36.8375;3.1104;6.1764;22.2824;6.0394;4.973;8
37.5361;3.1415;6.3069;22.0824;5.9389;4.9805;8
31.2804;3.187;6.4372;21.8824;5.9075;4.971;8
33.5929;3.2338;6.5666;21.6824;5.8392;4.9615;8
32.6507;3.2806;6.6961;21.4824;5.771;4.9519;8
33.4417;3.3274;6.8255;21.2824;5.7027;4.9424;8
39.1929;3.378;6.8245;21.0824;5.6345;4.9329;8
37.0527;3.4356;6.8155;20.8824;5.5662;4.9098;8
39.3458;3.4931;6.8065;20.6824;5.4969;4.8791;8
33.2815;3.5507;6.7975;20.4824;5.4272;4.8483;8
31.4999;3.6082;6.7884;20.2824;5.3575;4.8175;8
36.662;3.6703;6.7794;20.0824;5.2878;4.7867;8
39.6906;3.734;6.7704;19.8824;5.2181;4.7532;8
31.1669;3.7976;6.7614;19.6824;5.1484;4.7066;8
33.1163;3.8613;6.7092;19.4824;4.9376;4.66;8
32.4478;3.925;6.6339;19.2824;5.0115;4.6134;8
35.7276;3.9904;6.5586;19.0824;4.9436;4.5668;8
35.6041;4.0558;6.4832;18.8824;4.8757;4.493;8
40.2466;4.1212;6.4079;18.6824;4.8078;4.4631;8
39.3313;4.1867;6.3326;18.4824;4.7399;4.4057;8
33.5324;4.2514;6.2572;18.2824;4.5817;4.3482;8
48.8475;4.3145;6.1819;18.0824;4.6045;4.2908;8
20.9492;4.3777;6.1066;17.8824;4.5369;4.2012;8
33.6945;4.4408;6.0312;17.6824;4.4693;4.17;8
38.4451;4.504;5.9355;17.4824;4.4018;4.1064;8
38.8237;4.5669;5.8362;17.2824;4.3342;4.0428;8
35.3095;4.6297;5.7369;17.0824;4.2666;3.9791;8
